Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",131.481328,-96.351552,90.000000,top
"C2","0.1uF","C_0603_1608Metric",130.044320,-104.773560,45.000000,top
"C3","0.1uF","C_0603_1608Metric",125.258328,-110.715552,-90.000000,top
"C4","0.1uF","C_0603_1608Metric",118.146328,-105.368552,-135.000000,top
"C5","0.1uF","C_0603_1608Metric",125.044336,-97.280560,135.000000,top
"C6","0.1uF","C_0603_1608Metric",123.988328,-95.081552,45.000000,top
"C7","1uF","C_0603_1608Metric",126.147328,-96.224552,135.000000,top
"C8","22pF","C_0603_1608Metric",117.384328,-100.034552,135.000000,top
"C9","22pF","C_0603_1608Metric",115.987328,-98.129552,-135.000000,top
"D_1","D","D_SOD-123",324.759328,-94.692552,90.000000,top
"D_2","D","D_SOD-123",305.709328,-94.692552,90.000000,top
"D_3","D","D_SOD-123",286.659328,-94.692552,90.000000,top
"D_4","D","D_SOD-123",267.609328,-94.692552,90.000000,top
"D_5","D","D_SOD-123",248.559328,-94.692552,90.000000,top
"D_6","D","D_SOD-123",229.509328,-94.692552,90.000000,top
"D_7","D","D_SOD-123",210.459328,-94.692552,90.000000,top
"D_8","D","D_SOD-123",191.409328,-94.692552,90.000000,top
"D_9","D","D_SOD-123",172.359328,-94.692552,90.000000,top
"D_10","D","D_SOD-123",153.309328,-94.692552,90.000000,top
"D_11","D","D_SOD-123",135.672328,-94.692552,90.000000,top
"D_12","D","D_SOD-123",108.060578,-94.688552,90.000000,top
"D_13","D","D_SOD-123",322.373078,-113.738552,90.000000,top
"D_14","D","D_SOD-123",300.946828,-113.742552,90.000000,top
"D_15","D","D_SOD-123",281.896828,-113.742552,90.000000,top
"D_16","D","D_SOD-123",262.846828,-113.742552,90.000000,top
"D_17","D","D_SOD-123",243.796828,-113.742552,90.000000,top
"D_18","D","D_SOD-123",224.746828,-113.742552,90.000000,top
"D_19","D","D_SOD-123",205.696828,-113.742552,90.000000,top
"D_20","D","D_SOD-123",186.646828,-113.742552,90.000000,top
"D_21","D","D_SOD-123",167.596828,-113.742552,90.000000,top
"D_22","D","D_SOD-123",148.546828,-113.742552,90.000000,top
"D_23","D","D_SOD-123",129.496828,-113.742552,90.000000,top
"D_24","D","D_SOD-123",105.679328,-113.738552,90.000000,top
"D_25","D","D_SOD-123",317.610578,-132.788552,90.000000,top
"D_26","D","D_SOD-123",291.421828,-132.792552,90.000000,top
"D_27","D","D_SOD-123",272.371828,-132.792552,90.000000,top
"D_28","D","D_SOD-123",253.321828,-132.792552,90.000000,top
"D_29","D","D_SOD-123",234.271828,-132.792552,90.000000,top
"D_30","D","D_SOD-123",215.221828,-132.792552,90.000000,top
"D_31","D","D_SOD-123",196.171828,-132.792552,90.000000,top
"D_32","D","D_SOD-123",177.121828,-132.792552,90.000000,top
"D_33","D","D_SOD-123",158.071828,-132.792552,90.000000,top
"D_34","D","D_SOD-123",139.021828,-132.792552,90.000000,top
"D_35","D","D_SOD-123",119.971828,-132.792552,90.000000,top
"D_36","D","D_SOD-123",106.335328,-132.792552,90.000000,top
"D_37","D","D_SOD-123",322.373078,-151.838552,90.000000,top
"D_38","D","D_SOD-123",300.946828,-151.842552,90.000000,top
"D_39","D","D_SOD-123",279.510578,-151.838552,90.000000,top
"D_40","D","D_SOD-123",241.410578,-151.842552,90.000000,top
"D_41","D","D_SOD-123",193.785578,-151.838552,90.000000,top
"D_42","D","D_SOD-123",181.879328,-151.838552,90.000000,top
"D_44","D","D_SOD-123",139.021828,-151.842552,90.000000,top
"D_45","D","D_SOD-123",119.971828,-151.842552,90.000000,top
"D_46","D","D_SOD-123",106.335328,-151.842552,90.000000,top
"F1","500mA","Fuse_1206_3216Metric",133.386328,-96.478552,90.000000,top
"R1","5.1k","R_0603_1608Metric",125.893328,-92.668552,90.000000,top
"R2","5.1k","R_0603_1608Metric",132.497328,-92.668552,90.000000,top
"R3","22","R_0603_1608Metric",129.957328,-96.351552,90.000000,top
"R4","22","R_0603_1608Metric",128.433328,-96.351552,90.000000,top
"R5","10k","R_0603_1608Metric",123.480328,-110.702552,90.000000,top
"R6","10k","R_0603_1608Metric",114.844328,-107.273552,-135.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",120.940328,-122.894552,180.000000,top
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",124.369328,-103.463552,-135.000000,top
"U2","PRTR5V0U2X","SOT143B",129.195328,-92.668552,0.000000,top
"USB1","C167321","HRO-TYPE-C-31-M-12-Assembly",129.703328,-82.000552,180.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",119.670328,-98.129552,45.000000,top
